w1,w2,space_mean,space_std,space_max,space_min,time_mean,time_std,time_max,time_min,num_mean,num_std,num_max,num_min,tops_mean,fronts_mean,sides_mean,backs_mean,average_efficiency,is_pareto
0,1,0.780865,0.056171,0.91,0.534,38.92,9.426643,73,16,30.162,5.511058,47,15,0.507459,0.267172,0.200937,0.024432,1.082485,0
0.020408,0.979592,0.777528,0.068281,0.922,0.3,38.17,9.813414,78,9,29.809,5.894787,49,12,0.507836,0.265226,0.201576,0.025362,1.075618,1
0.040816,0.959184,0.785044,0.061848,0.919,0.345,38.231,8.956877,74,11,29.92,5.401815,50,13,0.508426,0.264352,0.201908,0.025313,1.084244,1
0.061224,0.938776,0.784691,0.057873,0.927,0.505,39.511,9.451766,71,11,30.508,5.623339,50,14,0.507746,0.264008,0.202613,0.025633,1.089771,0
0.081633,0.918367,0.781734,0.065643,0.924,0.325,38.48,9.559582,71,12,29.907,5.608596,49,8,0.506639,0.264421,0.203093,0.025847,1.080804,0
0.102041,0.897959,0.784368,0.060571,0.927,0.453,38.8,9.64956,70,10,30.288,5.492272,49,12,0.506615,0.264455,0.203028,0.025903,1.087248,0
0.122449,0.877551,0.786141,0.061229,0.918,0.373,38.684,9.107368,69,11,30.123,5.382181,48,13,0.506555,0.264634,0.202843,0.025968,1.087371,0
0.142857,0.857143,0.785184,0.057564,0.917,0.521,38.785,9.654676,76,14,30.365,5.617097,50,13,0.506191,0.264894,0.202899,0.026016,1.088834,0
0.163265,0.836735,0.783372,0.061785,0.921,0.315,38.972,9.211581,69,16,30.085,5.478118,50,14,0.50618,0.264998,0.20274,0.026082,1.084222,0
0.183673,0.816326,0.781678,0.063388,0.919,0.44,38.877,9.647584,75,14,30.043,5.614014,47,14,0.506004,0.264978,0.202884,0.026134,1.082108,0
0.204082,0.795918,0.784792,0.065238,0.936,0.464,38.765,9.929742,72,5,30.088,5.707737,46,10,0.506276,0.264942,0.202749,0.026033,1.085672,0
0.22449,0.77551,0.783937,0.060981,0.918,0.42,38.531,9.511416,73,12,29.966,5.626086,52,14,0.506278,0.264863,0.202899,0.02596,1.083597,0
0.244898,0.755102,0.787598,0.059754,0.92,0.482,39.055,9.349223,72,14,30.343,5.464188,49,16,0.506174,0.264782,0.203049,0.025995,1.091028,1
0.265306,0.734694,0.789119,0.06063,0.94,0.45,39.693,9.681361,77,10,30.385,5.560645,51,15,0.505829,0.264837,0.203343,0.025991,1.092969,0
0.285714,0.714286,0.78656,0.060297,0.938,0.426,38.428,9.17501,70,15,29.907,5.387982,49,13,0.506091,0.264692,0.203272,0.025945,1.08563,1
0.306122,0.693878,0.787588,0.064177,0.921,0.425,39.152,9.949517,72,9,30.341,5.79989,56,12,0.506302,0.264541,0.203141,0.026017,1.090998,0
0.326531,0.673469,0.7862,0.060327,0.924,0.458,38.681,9.405596,70,11,30.253,5.51516,48,14,0.506202,0.264573,0.203197,0.026028,1.08873,0
0.346939,0.653061,0.790409,0.062574,0.913,0.451,39.301,9.804101,73,17,30.363,5.684649,48,15,0.506321,0.264694,0.202916,0.026069,1.094039,1
0.367347,0.632653,0.786681,0.063716,0.925,0.349,39.334,9.461736,67,6,29.916,5.735934,51,10,0.50596,0.264721,0.203084,0.026235,1.085841,0
0.387755,0.612245,0.786834,0.067462,0.929,0.392,38.648,9.628816,72,7,29.962,5.745133,52,12,0.505887,0.264725,0.203077,0.026311,1.086454,1
0.408163,0.591837,0.790604,0.063845,0.927,0.379,39.61,9.706075,75,11,30.389,5.789964,50,14,0.505938,0.26466,0.203038,0.026364,1.094494,1
0.428571,0.571429,0.789684,0.061097,0.913,0.402,39.084,9.159964,72,15,30.237,5.475293,49,16,0.505881,0.26474,0.20302,0.026359,1.092054,1
0.44898,0.55102,0.79546,0.060448,0.927,0.493,40.034,9.689316,74,11,30.847,5.610489,50,14,0.505967,0.264596,0.203062,0.026375,1.10393,1
0.469388,0.530612,0.792802,0.065664,0.933,0.367,40.167,9.476556,73,10,30.607,5.698996,53,11,0.506052,0.264599,0.202921,0.026428,1.098872,0
0.489796,0.510204,0.790568,0.065909,0.925,0.203,39.827,9.827567,74,11,30.3,5.783597,51,11,0.505745,0.264739,0.203006,0.02651,1.093568,0
0.510204,0.489796,0.793305,0.061466,0.926,0.449,40.142,9.807336,75,15,30.565,5.510878,46,15,0.505525,0.264856,0.203076,0.026543,1.098955,0
0.530612,0.469388,0.797539,0.058388,0.94,0.478,40.175,9.686092,74,14,30.559,5.465576,50,16,0.505374,0.264839,0.203239,0.026548,1.103129,1
0.55102,0.44898,0.794602,0.064045,0.93,0.466,40.272,9.86063,77,14,30.717,5.694463,50,15,0.505043,0.264992,0.203334,0.026631,1.101772,0
0.571429,0.428571,0.796634,0.060411,0.934,0.534,40.424,9.526606,72,15,30.681,5.44915,48,16,0.50493,0.264978,0.203414,0.026677,1.103444,0
0.591837,0.408163,0.794968,0.063631,0.922,0.425,40.281,9.81387,74,12,30.412,5.649624,53,13,0.504711,0.265016,0.20355,0.026723,1.099088,0
0.612245,0.387755,0.798874,0.062512,0.928,0.411,40.537,9.821845,73,14,30.439,5.572278,47,14,0.504462,0.265123,0.203625,0.02679,1.103264,1
0.632653,0.367347,0.798883,0.062797,0.934,0.369,40.579,9.783341,72,15,30.481,5.637521,49,14,0.504435,0.265154,0.203558,0.026852,1.103693,1
0.653061,0.346939,0.798554,0.064663,0.948,0.324,40.624,9.927972,77,14,30.336,5.687276,48,12,0.504271,0.26512,0.203611,0.026999,1.101914,0
0.673469,0.326531,0.801736,0.060891,0.93,0.47,40.923,10.06385,77,16,30.675,5.604228,52,13,0.504147,0.265169,0.203662,0.027022,1.108486,1
0.693878,0.306122,0.801967,0.062763,0.934,0.536,41.672,10.251167,79,14,30.73,5.650584,47,15,0.503885,0.265168,0.203861,0.027086,1.109267,1
0.714286,0.285714,0.803907,0.06008,0.95,0.447,42.425,9.914251,75,15,31.122,5.707111,47,15,0.50371,0.265191,0.204015,0.027084,1.115127,1
0.734694,0.265306,0.80596,0.059152,0.933,0.467,42.658,10.681715,81,13,30.98,5.635388,51,11,0.503451,0.265199,0.204182,0.027168,1.11576,1
0.755102,0.244898,0.805936,0.058862,0.943,0.428,43.152,10.255579,76,15,31.286,5.753451,49,13,0.503167,0.265146,0.204417,0.027271,1.118796,0
0.77551,0.22449,0.806764,0.061605,0.937,0.264,43.543,10.332577,76,15,31.124,5.686002,54,13,0.502728,0.265256,0.204666,0.02735,1.118004,1
0.795918,0.204082,0.805218,0.060383,0.928,0.561,43.672,10.87853,86,14,30.968,5.74012,49,14,0.502375,0.265212,0.204939,0.027474,1.114898,0
0.816327,0.183673,0.803621,0.064614,0.932,0.447,43.871,10.706557,82,12,30.74,5.791407,50,15,0.502056,0.265259,0.205097,0.027587,1.111021,0
0.836735,0.163265,0.809035,0.061385,0.93,0.428,44.563,10.43408,83,12,30.962,5.593617,49,13,0.501626,0.265332,0.205302,0.027741,1.118655,1
0.857143,0.142857,0.809527,0.064528,0.958,0.438,45.767,10.566774,76,16,31.043,5.573971,49,10,0.501094,0.265393,0.205605,0.027909,1.119957,1
0.877551,0.122449,0.813137,0.061112,0.939,0.402,46.528,10.679195,89,16,31.183,5.678865,52,11,0.500684,0.265357,0.205869,0.02809,1.124967,1
0.897959,0.102041,0.813736,0.060354,0.954,0.475,47.434,11.292194,87,15,31.037,5.806,50,12,0.500149,0.265282,0.206234,0.028335,1.124106,1
0.918367,0.081633,0.812944,0.062675,0.949,0.35,49.077,11.304383,89,17,31.267,5.581193,50,10,0.499488,0.265159,0.20676,0.028594,1.125614,0
0.938776,0.061224,0.816025,0.058396,0.945,0.534,50.557,11.485763,89,16,31.159,5.617092,50,14,0.498765,0.265138,0.207205,0.028892,1.127615,1
0.959184,0.040816,0.817698,0.061614,0.946,0.397,53.849,12.464758,92,19,31.555,5.800429,49,15,0.497941,0.265063,0.207731,0.029264,1.133248,1
0.979592,0.020408,0.814375,0.066088,0.933,0.371,55.834,13.070518,103,17,31.173,5.797333,53,14,0.496788,0.265013,0.208447,0.029752,1.126105,0
1,0,0.816612,0.06292,0.94,0.379,61.389,14.07898,115,13,31.548,5.943542,50,12,0.495558,0.264894,0.209187,0.030362,1.132092,0
