w1,w2,space_mean,space_std,space_max,space_min,time_mean,time_std,time_max,time_min,num_mean,num_std,num_max,num_min,tops_mean,fronts_mean,sides_mean,backs_mean,average_efficiency,is_pareto
0.000000,1.000000,0.808152,0.044855,0.934000,0.530000,31.881000,8.029124,62.000000,10.000000,29.993000,5.157029,47.000000,13.000000,0.526057,0.268011,0.195015,0.010917,1.108082,0
0.020408,0.979592,0.811083,0.045320,0.927000,0.573000,32.049000,8.087806,64.000000,6.000000,30.231000,5.138058,47.000000,13.000000,0.529334,0.265635,0.194350,0.010681,1.113393,0
0.040816,0.959184,0.814411,0.044495,0.935000,0.620000,31.777000,8.148452,61.000000,8.000000,30.046000,5.236400,49.000000,13.000000,0.529174,0.266238,0.193766,0.010822,1.114871,1
0.061224,0.938776,0.814441,0.045055,0.914000,0.502000,32.331000,7.855536,60.000000,6.000000,30.323000,5.061884,48.000000,13.000000,0.529376,0.266317,0.193351,0.010956,1.117671,0
0.081633,0.918367,0.815475,0.043306,0.933000,0.627000,32.326000,7.919200,61.000000,12.000000,30.246000,5.009340,47.000000,15.000000,0.529191,0.266710,0.193038,0.011061,1.117935,1
0.102041,0.897959,0.819807,0.045053,0.931000,0.576000,32.501000,7.913659,65.000000,10.000000,30.299000,5.297320,49.000000,17.000000,0.528992,0.266437,0.193494,0.011077,1.122797,0
0.122449,0.877551,0.821486,0.043093,0.948000,0.682000,32.576000,8.085804,64.000000,10.000000,30.663000,5.179134,48.000000,16.000000,0.529158,0.266321,0.193625,0.010897,1.128116,1
0.142857,0.857143,0.820341,0.043867,0.947000,0.598000,32.438000,7.916575,59.000000,10.000000,30.394000,5.157981,47.000000,14.000000,0.529507,0.266404,0.193079,0.011011,1.124281,1
0.163265,0.836735,0.821659,0.042897,0.920000,0.644000,33.120000,8.121182,61.000000,11.000000,30.704000,5.049196,54.000000,16.000000,0.529355,0.266565,0.192942,0.011138,1.128699,0
0.183673,0.816326,0.825875,0.042215,0.931000,0.650000,33.044000,7.957768,58.000000,9.000000,30.800000,5.086846,48.000000,17.000000,0.529393,0.266415,0.193017,0.011174,1.133875,1
0.204082,0.795918,0.825084,0.042268,0.945000,0.655000,33.119000,8.200539,61.000000,9.000000,30.630000,5.231931,52.000000,14.000000,0.529001,0.266494,0.193254,0.011251,1.131384,0
0.224490,0.775510,0.829697,0.040443,0.922000,0.655000,33.872000,8.635833,61.000000,10.000000,31.198000,5.300452,53.000000,17.000000,0.529017,0.266460,0.193125,0.011399,1.141677,0
0.244898,0.755102,0.831001,0.040029,0.952000,0.683000,33.609000,8.312408,63.000000,15.000000,31.110000,5.240983,55.000000,16.000000,0.529104,0.266113,0.193300,0.011483,1.142101,0
0.265306,0.734694,0.830851,0.041891,0.933000,0.682000,33.652000,8.290772,62.000000,10.000000,30.906000,5.092265,50.000000,16.000000,0.528663,0.266147,0.193686,0.011504,1.139911,0
0.285714,0.714286,0.832616,0.040720,0.924000,0.656000,33.609000,8.321666,61.000000,11.000000,31.077000,5.103633,49.000000,16.000000,0.528756,0.266046,0.193627,0.011572,1.143386,1
