w1,w2,space_mean,space_std,space_max,space_min,time_mean,time_std,time_max,time_min,num_mean,num_std,num_max,num_min,tops_mean,fronts_mean,sides_mean,backs_mean,average_efficiency,is_pareto
0.755102,0.244898,0.859283,0.039400,0.957000,0.681000,45.003000,10.263771,78.000000,14.000000,33.908000,5.594599,59.000000,16.000000,0.510433,0.265855,0.201428,0.022284,1.198363,1
0.775510,0.224490,0.861537,0.039278,0.955000,0.674000,45.398000,9.828713,83.000000,18.000000,33.665000,5.336176,51.000000,18.000000,0.510016,0.265862,0.201684,0.022438,1.198187,1
0.795918,0.204082,0.863093,0.038962,0.951000,0.693000,45.929000,10.160805,81.000000,22.000000,33.735000,5.308745,54.000000,18.000000,0.509618,0.265866,0.201903,0.022613,1.200443,1
0.816327,0.183673,0.865041,0.041297,0.962000,0.703000,46.780000,10.478817,84.000000,19.000000,34.080000,5.484487,50.000000,19.000000,0.509026,0.265960,0.202248,0.022766,1.205841,1
0.836735,0.163265,0.864211,0.039052,0.956000,0.677000,46.679000,10.575252,82.000000,13.000000,33.702000,5.491193,54.000000,17.000000,0.508520,0.266004,0.202528,0.022947,1.201231,1
0.857143,0.142857,0.867980,0.037978,0.973000,0.725000,47.412000,10.210301,84.000000,20.000000,33.833000,5.260904,54.000000,18.000000,0.508062,0.265957,0.202819,0.023162,1.206310,1
0.877551,0.122449,0.869406,0.038625,0.962000,0.716000,48.900000,10.661520,82.000000,20.000000,33.941000,5.593882,53.000000,14.000000,0.507449,0.266007,0.203125,0.023419,1.208816,1
0.897959,0.102041,0.871217,0.036681,0.957000,0.723000,50.546000,11.309637,86.000000,19.000000,34.276000,5.676075,52.000000,19.000000,0.506816,0.265880,0.203585,0.023719,1.213977,1
0.918367,0.081633,0.871837,0.037906,0.964000,0.722000,51.301000,11.314168,107.000000,22.000000,34.212000,5.696583,54.000000,18.000000,0.506228,0.265793,0.203953,0.024026,1.213957,1
0.938776,0.061224,0.873767,0.039951,0.964000,0.591000,53.139000,11.875002,93.000000,19.000000,34.184000,5.741441,51.000000,15.000000,0.505418,0.265756,0.204450,0.024375,1.215607,1
0.959184,0.040816,0.874579,0.038278,0.962000,0.725000,54.895000,12.016155,98.000000,26.000000,34.101000,5.653034,51.000000,18.000000,0.504599,0.265697,0.204944,0.024760,1.215589,1
0.979592,0.020408,0.878350,0.037793,0.974000,0.676000,58.909000,11.778231,106.000000,23.000000,34.601000,5.360578,57.000000,18.000000,0.503505,0.265727,0.205591,0.025177,1.224360,1
1.000000,0.000000,0.878373,0.037535,0.961000,0.711000,63.266000,14.027945,115.000000,26.000000,34.351000,5.872291,55.000000,17.000000,0.502295,0.265491,0.206448,0.025766,1.221883,1
